resource_id,module,topic,difficulty,resource_type,title,description,url
R051,AAA,Python Programming,Advanced,Book Chapter,Python Programming: A Deeper Look,An in-depth chapter-style reading on python programming.,https://university-resources.example.edu/python-programming-book-chapter
R052,BBB,SQL for Data Analysis,Beginner,Article,Understanding SQL for Data Analysis,A written explanation covering the fundamentals of sql for data analysis.,https://university-resources.example.edu/sql-for-data-analysis-article
R053,BBB,SQL for Data Analysis,Intermediate,Quiz,SQL for Data Analysis Self-Check Quiz,A short quiz to test your understanding of sql for data analysis.,https://university-resources.example.edu/sql-for-data-analysis-quiz
R054,BBB,SQL for Data Analysis,Advanced,Practice Exercise,SQL for Data Analysis Practice Set,A set of practice problems to reinforce sql for data analysis.,https://university-resources.example.edu/sql-for-data-analysis-practice-exercise
R055,CCC,Ensemble Methods,Beginner,Notebook,Hands-on Ensemble Methods Notebook,A Jupyter notebook with runnable code exploring ensemble methods.,https://university-resources.example.edu/ensemble-methods-notebook
R056,CCC,Ensemble Methods,Intermediate,Book Chapter,Ensemble Methods: A Deeper Look,An in-depth chapter-style reading on ensemble methods.,https://university-resources.example.edu/ensemble-methods-book-chapter
R057,CCC,Ensemble Methods,Advanced,Lecture Notes,Ensemble Methods Lecture Notes,Concise lecture notes summarizing ensemble methods for revision.,https://university-resources.example.edu/ensemble-methods-lecture-notes
R058,DDD,Hyperparameter Tuning,Beginner,Tutorial,Step-by-Step Hyperparameter Tuning Tutorial,A guided tutorial that builds hyperparameter tuning skills from scratch.,https://university-resources.example.edu/hyperparameter-tuning-tutorial
R059,DDD,Hyperparameter Tuning,Intermediate,Practice Exercise,Hyperparameter Tuning Practice Set,A set of practice problems to reinforce hyperparameter tuning.,https://university-resources.example.edu/hyperparameter-tuning-practice-exercise
R060,DDD,Hyperparameter Tuning,Advanced,Video,Introduction to Hyperparameter Tuning,A short video walking through the core ideas behind hyperparameter tuning.,https://university-resources.example.edu/hyperparameter-tuning-video
